,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,timediff_mean
4,ID5num_kernels2000_max_alpha10,ETERRY-HumanDist_MiniRocket_Ridge_num_kernels=2000_max_alpha_10,2000,10.0,0.6939815976429232,0.6488266597531472,0.805005339067667,0.027598714795279724,0.04558567205226665,0.028161388916346425,0.0,2.452738349797437
6,ID7n_estimators200_window_size0.5,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=200_window_size_0.5,200,0.5,0.6885002925221819,0.6621215508138998,0.8128146651116108,0.008081858890416271,0.06033058792938583,0.03812966028434557,0.0,4.752497375800158
3,ID4num_kernels2000_max_alpha5,ETERRY-HumanDist_MiniRocket_Ridge_num_kernels=2000_max_alpha_5,2000,5.0,0.6868869106796552,0.663322966027045,0.8143000145416833,0.01755735937662151,0.02530755920401779,0.015441902229308187,0.0,2.4447385165985906
7,ID8num_kernels2000_n_estimators200,ETERRY-HumanDist_MiniRocket_GradBoost_num_kernels=2000_n_estimators_200,2000,200.0,0.6813902421496112,0.6759354164331334,0.8213104841652875,0.01650444208421143,0.060646940970194,0.037208937546163945,0.0,63.89985201540112
6,ID7max_alpha10_window_size0.5,ETERRY-HumanDist_TSFreshWin_Ridge_max_alpha=10_window_size_0.5,10,0.5,0.6813062020057403,0.6748095112594706,0.8211779769071116,0.028031638640332236,0.03590387722560364,0.02182295814535737,0.0,4.5116864703973985
7,ID8n_estimators200_window_size1.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=200_window_size_1.0,200,1.0,0.6801345571278099,0.6773946295168376,0.8210765042915369,0.05306159537041983,0.09492916793573837,0.05681552267846704,0.0,3.9710585364024156
6,ID7num_kernels2000_n_estimators300,ETERRY-HumanDist_MiniRocket_GradBoost_num_kernels=2000_n_estimators_300,2000,300.0,0.676776248281413,0.6803466226108392,0.8225691043398158,0.05538754660012976,0.09814430981097809,0.06104663132747324,0.0,95.06217241159757
12,ID13max_alpha20_window_size0.5,ETERRY-HumanDist_TSFreshWin_Ridge_max_alpha=20_window_size_0.5,20,0.5,0.6762637490998357,0.6818129365590909,0.8234341984391863,0.05007118618462456,0.10418760481279332,0.0613926493963709,0.0,4.610701558599248
0,ID1max_alpha5_window_size0.5,ETERRY-HumanDist_TSFreshWin_Ridge_max_alpha=5_window_size_0.5,5,0.5,0.6742646649508652,0.6927204210952281,0.8318983858698445,0.023698891799181773,0.042462068663754314,0.02579722237713356,0.0,4.574785049600178
13,ID14max_alpha20_window_size1.0,ETERRY-HumanDist_TSFreshWin_Ridge_max_alpha=20_window_size_1.0,20,1.0,0.6723858215788602,0.6973884088865421,0.8344139505036713,0.02195457143153233,0.05629334917220939,0.03379005906178514,0.0,3.9233317524020093
19,ID20n_estimators50_window_size1.0,ETERRY-HumanDist_TSForest_n_estimators=50_window_size_1.0,50,1.0,0.6715339453137931,0.6964400448581998,0.8335918517012904,0.024327462377823097,0.06638259919143255,0.039555905190172644,0.0,3.0100387407961535
7,ID8max_alpha10_window_size1.0,ETERRY-HumanDist_TSFreshWin_Ridge_max_alpha=10_window_size_1.0,10,1.0,0.6710153550470194,0.6997922776536234,0.8363210017276581,0.010230611639818301,0.031757865687013984,0.018959423062685252,0.0,3.896066029201029
1,ID2max_alpha5_window_size1.0,ETERRY-HumanDist_TSFreshWin_Ridge_max_alpha=5_window_size_1.0,5,1.0,0.670121411161937,0.7019109091296211,0.8369989892565222,0.020402111689615695,0.06127919881790308,0.03665516489092805,0.0,3.8765901834034593
3,ID4n_estimators300_window_size5.0,ETERRY-HumanDist_TSForest_n_estimators=300_window_size_5.0,300,5.0,0.6699661245892058,0.7016148322708412,0.8366150226178751,0.021230004322658386,0.06761405864269866,0.041111266107156826,0.0,3.7840328301972477
23,ID24n_estimators50_window_size20.0,ETERRY-HumanDist_TSForest_n_estimators=50_window_size_20.0,50,20.0,0.6692853452082101,0.7043102736007263,0.8367018996752258,0.03957000568796793,0.10483774595454,0.06511685404405557,0.0,2.995614446999389
0,ID1n_estimators300_window_size0.5,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=300_window_size_0.5,300,0.5,0.6689803557824237,0.7030523821668848,0.837153049206243,0.04143334318344996,0.07808771372241795,0.04719273642812429,0.0,4.947142303994042
7,ID8n_estimators200_window_size1.0,ETERRY-HumanDist_TSForest_n_estimators=200_window_size_1.0,200,1.0,0.6684298488237385,0.7025536994367861,0.8376444467023401,0.023617742966743082,0.05083655591362843,0.03009120046652812,0.0,3.50666392359999
14,ID15n_estimators100_window_size2.0,ETERRY-HumanDist_TSForest_n_estimators=100_window_size_2.0,100,2.0,0.6678756089504173,0.7049511461743673,0.8388081763109566,0.035934554063663846,0.06192087988079742,0.03676941022445346,0.0,3.2129670658003304
